"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MTCO1P12",1057.39442955635,3.86018433929709,0.497794201752954,7.75457875102535,8.8637206327893e-15,2.83701106293687e-10
"MTND1P23",91.1366762978215,4.6039695193187,0.830963007034405,5.5405228395782,3.01569902396113e-08,0.000482617393299619
"UCN2",141.603776194817,-3.95957793077082,0.72577993656509,-5.45561778617135,4.88028682473028e-08,0.000520677801330474
"CXCL5",940.569293041149,-3.78461344953121,0.704801464825186,-5.36975820626298,7.88422785953415e-08,0.000630876202750274
"H4C6",47.3154921830091,-0.95004053725745,0.222474971321706,-4.27032547352781,1.95187911551127e-05,0.124947589700338
"AOX3P",12.4081570645111,-2.31931263024743,0.566983076885661,-4.09062055782512,4.30220504318955e-05,0.131902711101682
"ENSG00000240661",22.4381295066983,-3.04170592883241,0.729403488454194,-4.17012802513273,3.04428571378354e-05,0.131902711101682
"GAS1",144.255441101291,-2.47091240795208,0.592265047049412,-4.17197067472046,3.0197650882586e-05,0.131902711101682
"GPR153",471.471359802504,0.67569460694478,0.164718440546243,4.10211877130469,4.09384022056527e-05,0.131902711101682
"LRRC7",1450.22397351716,0.369782176189454,0.0911197824712175,4.05819862779259,4.94526988852497e-05,0.131902711101682
"U2",7839.89018762334,-2.11862415735457,0.521611343087138,-4.0616911143373,4.8718511084117e-05,0.131902711101682
"ZNF585B",1910.41125102996,0.403420927511129,0.0974146151738437,4.14127722817766,3.45377213867479e-05,0.131902711101682
"RAMP1",13.1455879455532,-1.41089655973628,0.350236084211277,-4.02841575537135,5.61539755274806e-05,0.138255407285236
"SLC35A5",819.27188018515,-0.244889279052938,0.0612951521664762,-3.99524710188865,6.46268115840108e-05,0.147750739883531
"COL7A1",3643.89452319682,-1.78969204599428,0.451822991230951,-3.96104687173715,7.46218815249022e-05,0.149276410122972
"MIR2052HG",47.3435075802761,-0.637532687328302,0.160583602839896,-3.97009829181583,7.18429878103212e-05,0.149276410122972
"ACKR4",45.1720483791001,-1.19730381444278,0.306598637017799,-3.90511786382558,9.41794719653848e-05,0.150924747564615
"ENSG00000231704",36.0973929769569,0.611088672113944,0.156771868959361,3.89794850422019,9.70110385624615e-05,0.150924747564615
"IGKV2-29",58.1342580239741,-2.71860800788146,0.689388946948334,-3.94350391011594,8.02996815391425e-05,0.150924747564615
"MTCO1P40",100.077442873587,2.19074176437731,0.563188834920928,3.88988848595497,0.000100290297493248,0.150924747564615
"MTND4P12",251.752403263043,1.65368589674671,0.425206541240793,3.88913559965727,0.000100601899424486,0.150924747564615
"RANBP9",650.073339782762,-0.254663412968008,0.0656065228560057,-3.88167825212971,0.000103738071247588,0.150924747564615
"GPC2",191.430554667644,0.336634206335319,0.0878957171966172,3.82992729420809,0.000128181125757739,0.178377969222955
"ENSG00000286896",824.066993757832,0.832771640778997,0.218448693227431,3.8122070151822,0.00013773144376836,0.183682096695579
"PSD2",15.3527805553392,1.77178714354324,0.467287613804553,3.79164157405702,0.000149654796521684,0.191600042890781
"CA9",15.2138867570347,-2.56164473041538,0.684222861284994,-3.74387480360497,0.000181203968148226,0.194394467624464
"DLST",1887.18445059323,0.150354044229145,0.0400161326225173,3.75733571376009,0.000171732038834625,0.194394467624464
"ENSG00000285980",18.3854828732451,1.77567022912354,0.476497102179268,3.72650792838505,0.000194150967883974,0.194394467624464
"GPR179",22.5803785701414,1.35265547307582,0.364075494718688,3.71531589655872,0.000202949987586589,0.194394467624464
"LINC01607",164.44207792979,0.393704975780272,0.106303700482679,3.7035867424429,0.000212572448741095,0.194394467624464
"MFSD4A",425.174550766358,0.660205441690461,0.177939076050602,3.71028925373712,0.000207022573818119,0.194394467624464
"MIR4307HG",137.079962377349,0.497327011020213,0.134261515991611,3.704166509272,0.000212086919711764,0.194394467624464
"MMP8",16.7836471188389,-2.25660587682469,0.604783223352428,-3.73126401277452,0.000190521429327667,0.194394467624464
"SAXO2",102.80983838883,0.890152003340365,0.237215684008888,3.75250062852932,0.00017507939291452,0.194394467624464
"VIP",34.1206935176659,-1.83331029138255,0.4932261658755,-3.7169769534192,0.000201620827358014,0.194394467624464
"ENSG00000279154",849.32449565239,0.740765229854491,0.200797286568144,3.68911972126226,0.000225031313550884,0.194664250076301
"LINC02421",56.27195408468,1.25285782840499,0.339187203805714,3.69370605479157,0.000221009265061951,0.194664250076301
"IGKV1-27",235.075477240171,-1.06826038512026,0.292372091439941,-3.65377002934529,0.00025841774279398,0.217662544568603
"SDF2",555.916204687488,0.230874396929664,0.0633982040644577,3.64165515942582,0.000270890779004478,0.220858314006985
"TWIST1",24.4040696687096,-1.66001552038919,0.456445559137281,-3.63683135295861,0.000276012514771125,0.220858314006985
"CEL",41.0205217667526,0.604237518720925,0.167497900026582,3.60743339841892,0.00030924088144368,0.226584139844325
"PI15",660.620141034437,-2.17804561762611,0.601610776477096,-3.62035672030392,0.000294197130630303,0.226584139844325
"SDK1-AS1",7.16171973517996,-1.75141620509936,0.485754791231251,-3.60555621213743,0.000311485054930181,0.226584139844325
"VEGFB",266.348078136022,-0.406476567817799,0.112459231140178,-3.61443488183851,0.000301003455765631,0.226584139844325
"CALB2",8.53566273773961,-1.68728443297431,0.472132134346806,-3.5737546975248,0.000351898619049496,0.239642959572707
"RBMXL2",13.9923113635304,-1.33162339551719,0.371534832274895,-3.58411454281071,0.000338223643932109,0.239642959572707
"ZNF527",889.803568525197,0.224465183474713,0.0627551517865056,3.57684073872292,0.000347771907647017,0.239642959572707
"FUNDC1",58.1262252225814,-0.4406680576184,0.123919432795296,-3.5560851730684,0.000376422087037544,0.251002952912723
"ENSG00000203462",88.9577889015455,1.0328390519394,0.293212336549619,3.52249521317331,0.000427504761900657,0.263137402195275
"INHBA",943.913929600031,-2.03187405915052,0.575983090776823,-3.52766268955943,0.000419246036420187,0.263137402195275
"PPIL2",2464.93840058656,0.268601779673424,0.0759373702335729,3.53714882207853,0.000404471683792446,0.263137402195275
"SSH3",601.304451749248,0.480939287527699,0.136403075678026,3.52586835111355,0.000422096735750506,0.263137402195275
"OR7E11P",73.7528847934812,0.662434906480773,0.188329994167999,3.51741584980802,0.000435770496687158,0.263164269574827
"COL10A1",19.6729060456717,-1.96582282114642,0.56183232137515,-3.49894932412368,0.000467095346981338,0.27681183397526
"MYLK3",2047.75787732965,0.336792361144731,0.0963889268083934,3.49409804939756,0.000475666287644556,0.27681183397526
"DTNB",313.565235627899,-0.357209615057048,0.102834821781726,-3.47362507045766,0.000513477990391032,0.284239434812651
"ENSG00000279440",1180.64331911476,0.854087071790339,0.245677137327645,3.47646134711873,0.000508077460133774,0.284239434812651
"NRCAM",206.57447416877,-1.47867639345135,0.425788735139825,-3.4727935978996,0.000515071303750234,0.284239434812651
"ENSG00000287483",63.0511661720125,0.393493127403037,0.113648636760834,3.46236557356263,0.000535449318550452,0.290476717607531
"WFDC21P",17.953256723793,-1.11996879521462,0.323914628473466,-3.45760486487679,0.000545000090363463,0.290730298204389
"IGHV7-4-1",75.2390696244203,-2.33744298115082,0.678940144027364,-3.44278210931156,0.00057576300007251,0.302105677759358
"ENSG00000237626",7.33436611920867,-1.38708157072454,0.40411098904732,-3.43242724973785,0.00059820434963368,0.305858108178456
"REG1B",419.812640330467,-2.6544677536713,0.773739445191559,-3.43069979198762,0.000602026457188825,0.305858108178456
"ENSG00000287886",378.551577152004,0.984280277679586,0.288802486164238,3.40814336729719,0.000654065202890873,0.313576149157662
"IGKV2D-29",88.5813191827721,-1.17658345522474,0.345325902382482,-3.40716826368142,0.000656406473382801,0.313576149157662
"LASTR",652.457043119645,0.720216145311009,0.210939521514707,3.41432530110672,0.000639401838590881,0.313576149157662
"P2RY8",566.697351089029,-0.661977116001224,0.194271866469427,-3.40747802567389,0.000655661876705515,0.313576149157662
"EFEMP2",318.87376362659,-0.511927702995818,0.151813349956106,-3.37208620417001,0.000746010945870636,0.322669896547046
"ENSG00000224886",48.3070057018611,0.540511790160007,0.159515496438959,3.38845944266513,0.000702864225601829,0.322669896547046
"FAP",195.36096626648,-1.64924510343626,0.487519725869338,-3.3829299942589,0.00071716910873855,0.322669896547046
"LINC02527",15.7449896710075,-0.879793682959886,0.260259425826102,-3.38044887391606,0.000723675370740826,0.322669896547046
"PIPSL",205.65035778715,0.803885108943577,0.238187265813458,3.37501295964814,0.000738122148452907,0.322669896547046
"TRPV2",308.15258495846,-0.522412289694554,0.153901247881423,-3.39446428723606,0.000687630077618159,0.322669896547046
"TRPV4",44.3412298940328,-0.778766515792167,0.230688818504959,-3.37583122077252,0.000735930501482656,0.322669896547046
"RN7SL381P",167.030508200815,0.314580507657691,0.0935235033240828,3.36365187868968,0.00076918500212499,0.324642922360383
"TRIM45",199.776462153914,0.290943844462031,0.086511847340546,3.3630520374482,0.000770858315349427,0.324642922360383
"DUT",320.674685531663,-0.273701670767531,0.0818467070470527,-3.34407675815453,0.000825568922075317,0.333916044916253
"ENSG00000250654",16.4657126717868,-0.856641231891458,0.256629461578686,-3.33804710738092,0.000843694444002041,0.333916044916253
"ENSG00000273297",108.483169208628,-0.791803720570091,0.237237149893648,-3.33760425348666,0.000845040136164479,0.333916044916253
"MTCO3P23",25.6428245116672,-2.16799022265393,0.646890252938661,-3.35140344564675,0.000804030716436392,0.333916044916253
"WDR41",842.747191436745,-0.198681579845948,0.0595035938848137,-3.33898453647277,0.00084085244922517,0.333916044916253
"ENSG00000279030",75.5472278094317,-0.82527260374834,0.247915543146027,-3.32884575640439,0.000872066858679933,0.339961105946587
"PGLYRP3",669.51601528192,0.748139374795633,0.224948694694543,3.32582225387673,0.000881581272645569,0.339961105946587
"ENSG00000280244",319.015884316242,0.387349841811945,0.116710030162144,3.31890790597693,0.000903702280053029,0.344342843781635
"ENSG00000279549",701.64521694096,0.140265743604669,0.0423728761966624,3.31027195212482,0.000932053666370255,0.346886531389683
"ING5",1780.74611527683,0.256549437963567,0.0774718286091822,3.31151907176178,0.000927909147826542,0.346886531389683
"LINC02253",345.241168149851,-0.276910743533346,0.0838182316762781,-3.30370538718626,0.000954160474093937,0.351032348210628
"CDRT1",208.12186738605,-0.52864085363861,0.160571939861875,-3.29223682601923,0.000993938745657396,0.357853023307434
"IGLV9-49",22.2028232568398,-1.62450861409365,0.493483706215011,-3.29191945678112,0.000995061051468792,0.357853023307434
"RN7SL776P",12.7705254999661,0.748647428124876,0.228206167714811,3.2805749100544,0.00103595750558676,0.368421020903504
"C20orf204",101.783440640534,0.416620799486891,0.127765837171605,3.26081532207486,0.00111092369841984,0.386492769731782
"ENSG00000234261",201.067271153758,0.262127550125206,0.0803799666411289,3.26110548534466,0.00110978746239425,0.386492769731782
"ADRB1",100.170382750333,0.614144959281207,0.18878103977291,3.25321314057799,0.00114107871982274,0.392715124573833
"LGI1",417.69116832666,0.416920288093832,0.128287948680433,3.24987882636104,0.00115454191589249,0.393121522361393
"GUCY2D",11.1011150291518,-1.51752034475424,0.467471022854375,-3.24623403497456,0.001169426604212,0.393998287589615
"ARL4AP5",14.5397092435686,-1.05760226048938,0.326264338511496,-3.24155028807144,0.00118881457600101,0.396358209729837
"IGHV1-58",22.6149648947748,-1.54574646845522,0.477560526809639,-3.23675509527899,0.00120897117754933,0.398923097730119
"FBXO30",742.558402880093,-0.162631969399855,0.0503021050584067,-3.23310464265898,0.00122452699557766,0.399933015790349
"ENSG00000256540",19.1044552021186,-0.835871309360634,0.259302143103777,-3.22354184718831,0.00126615796874329,0.401246713916501
"GASK1B-AS1",305.474392791066,-0.480163849364563,0.148937871682694,-3.22392044373732,0.00126448523614104,0.401246713916501
"TMEM80",773.438854976719,0.262992584342204,0.0815637861029788,3.2243793098344,0.0012624605879436,0.401246713916501
"LOXL1",106.153373862758,-0.872934573821002,0.271867732403559,-3.21087966601797,0.00132329334958562,0.405123740329261
"RN7SL124P",18.2813610970377,-1.6127488795058,0.502470619619063,-3.20963816895098,0.00132902154949144,0.405123740329261
"RN7SL16P",64.2623591396263,0.323842215372036,0.100846573649479,3.21123667024763,0.00132165037388922,0.405123740329261
"WFDC2",46.631988699984,1.10109252883652,0.342774161718985,3.21229734270117,0.00131678013101095,0.405123740329261
"ENSG00000254979",11.6946518536977,-2.26673006641542,0.707688314495656,-3.20300621048242,0.00136001048114417,0.406821079158706
