"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HCAR3",340.536587049819,6.08519612283641,0.475880992891288,12.7872224647277,1.93258128145881e-37,6.08879058536412e-33
"AQP9",272.762217711187,6.09109174253559,0.510949688782455,11.9211184119714,9.18669441385729e-33,1.44717997101494e-28
"CXCL8",326.328960698663,4.99846258142638,0.422669925658077,11.8259243868463,2.86728862873585e-32,2.47597352688972e-28
"MUC1",740.333249014017,2.76253489364625,0.233752602428391,11.8181995192654,3.14349460660156e-32,2.47597352688972e-28
"MMP3",600.968378008445,6.54462876046428,0.563434116077594,11.6156061085285,3.43344879320909e-31,2.16348475357691e-27
"FCGR3B",213.452412559059,4.77736413423857,0.415801514214304,11.4895303911191,1.48919254987702e-30,7.81975007940424e-27
"FCGR1B",219.306773505839,3.62501631323964,0.32338396695097,11.209635243881,3.656972807022e-29,1.64595121797193e-25
"UCN2",87.7211525007763,5.58819203007143,0.501399960471794,11.1451784416042,7.55926150218433e-29,2.97702616109774e-25
"FCGR3A",391.772764838789,3.38371722589286,0.306344184683948,11.0454756286097,2.30543506677698e-28,7.39886128077644e-25
"IL1B",849.942335535789,4.50642634106434,0.408049701623609,11.0438172681747,2.34839753722353e-28,7.39886128077644e-25
"ENSG00000286318",235.985772940421,3.24585781003859,0.29535117353266,10.989825336447,4.27753073444013e-28,1.12306569432726e-24
"HCAR2",214.129755668265,4.48433258042212,0.407778213374556,10.9969891312048,3.95104506462981e-28,1.12306569432726e-24
"CXCL5",644.491130422987,4.96879442388802,0.454223158231554,10.9391041250148,7.49367158691159e-28,1.81612013090182e-24
"ENSG00000225840",201648.145941237,2.48284829040599,0.238841286356869,10.395389877009,2.60220545565557e-25,5.85607750613461e-22
"TREM1",181.785999070339,4.24637109307487,0.408987195504028,10.3826504588774,2.97401803451482e-25,6.24662747969494e-22
"ENSG00000280800",279421.88507631,2.94384726527989,0.283949988124965,10.3674850797469,3.48577877901586e-25,6.86393413822961e-22
"ENSG00000286076",45.3961580733725,6.00256426214851,0.583994882729646,10.2784535270103,8.81303053333068e-25,1.63331376460657e-21
"FCGR1A",121.579102562781,3.49109752516443,0.344091978724418,10.1458265261116,3.45838332627353e-24,6.05332361542076e-21
"MTND5P32",60.5946234946513,5.31170207327162,0.524596696270622,10.1253059941717,4.26642153088421e-24,7.07462509221253e-21
"S100A8",113.188081248026,5.20785725029192,0.522125971995211,9.97433096536268,1.97427480001325e-23,3.02667899792228e-20
"TNFAIP6",39.9591192612707,4.4224712432745,0.443480647943779,9.97218540150403,2.01740173161835e-23,3.02667899792228e-20
"COL7A1",2908.19654722372,3.14301837965894,0.316581169834796,9.9280016600453,3.14494949423599e-23,4.50385358024542e-20
"CHI3L1",768.539965663423,3.61040140555929,0.364904810494527,9.89409101147883,4.4160382991865e-23,6.04920446322477e-20
"IL1RN",359.535314969693,3.6291303055106,0.372794635320445,9.73493167998806,2.13961423530482e-22,2.80877858739641e-19
"S100A9",132.832370650158,4.42034663717936,0.455669399624356,9.70077569576407,2.99215061856518e-22,3.77082789554058e-19
"INHBA",584.462016032032,3.09724555495023,0.322036008484648,9.61769949119799,6.73198970872893e-22,8.15761799089283e-19
"WNT5A",1106.40385547371,1.78970190107632,0.18692310651692,9.57453540348856,1.02316280482611e-21,1.19391730847597e-18
"DUOX2",4873.27211795337,3.82845659964919,0.402849978876784,9.50343006179022,2.03088154582444e-21,2.28517692795517e-18
"TFAP2C",33.0643830766625,4.02119775695603,0.429338742324809,9.36602584519115,7.53150605397498e-21,8.18233205988055e-18
"KCNJ2",438.993774516985,1.58892643911907,0.172247575220748,9.22466651320197,2.8444463436947e-20,2.98723755014818e-17
"DUOXA2",173.422079937997,4.41459984662673,0.480989576882837,9.17816114693494,4.38515437876451e-20,4.45673141475338e-17
"GLT1D1",54.763702720781,3.30580546833614,0.360968577760086,9.15815301389839,5.27931210808371e-20,5.19781272741517e-17
"IL1A",60.5840661604199,4.09403140708892,0.456397364258729,8.97032219661995,2.95648329881976e-19,2.82263523674592e-16
"MAP3K20-AS1",74.0062088641436,2.73585069854686,0.306313717647588,8.93153176278717,4.2015038621993e-19,3.89331119654268e-16
"CXCL1",411.014774286412,2.10294763406923,0.235570436526666,8.92704392399926,4.37543718731746e-19,3.93864354353211e-16
"ENSG00000259600",35.5163849403757,4.40261783405915,0.494001569434775,8.91215353646856,5.00507590292958e-19,4.38027559438054e-16
"SRPX2",517.338837497498,1.67386149636128,0.188057540560327,8.90079435992793,5.54484060263791e-19,4.72150670342459e-16
"CSF3R",1497.41690467171,1.99014623578707,0.223883422386037,8.88920767146175,6.15462029119641e-19,5.10282807616932e-16
"PAQR9",327.80627987502,2.2375708090564,0.256784428356626,8.71381034814474,2.93827784912547e-18,2.37367645934736e-15
"GBP5",3569.73606588811,2.27545381840185,0.262353862453115,8.67322400793127,4.20054462357271e-18,3.30855897275704e-15
"ADAMTSL4-AS1",453.945601947143,1.11469243936629,0.12890113093567,8.64765445636471,5.25687241468955e-18,4.03958590968802e-15
"ENSG00000203396",4124.92841982387,2.77317786796566,0.321373189668677,8.62915127059819,6.18089011687585e-18,4.6365505719593e-15
"GBP1P1",160.945889885789,1.87094544042451,0.217639066742505,8.59655147592633,8.21472866440819e-18,6.01891258839173e-15
"SLED1",69.0855785035343,2.59843186758513,0.302451847682714,8.59122497512731,8.60469621839852e-18,6.16135361492872e-15
"MIRLET7IHG",928.515094712393,0.746561114324401,0.08737417149615,8.54441423066652,1.29189869050818e-17,9.04501336514463e-15
"ENSG00000260212",48.1803367418595,1.56459493645465,0.183317454864803,8.53489340449626,1.40284704692469e-17,9.60828240443678e-15
"IL1R2",142.34943513664,2.19180725323131,0.256944652820719,8.53026995958007,1.46006594227515e-17,9.78741225049379e-15
"SUPT20HL2",1621.1039648213,1.59158155213362,0.190087999486781,8.37286707435886,5.62330247286821e-17,3.69099516062887e-14
"PRRG3",5907.24895828662,1.92883404071401,0.23109049769018,8.34666098343848,7.02199070112856e-17,4.51499671489299e-14
"LILRB2",515.07457833434,1.58802561656505,0.190511589343555,8.33558536799207,7.71157135782193e-17,4.85921534399076e-14
"ANKRD22",402.347615093847,1.86716165862054,0.224329933420714,8.32328361244068,8.55593974286049e-17,5.28555759879535e-14
"HGF",261.507726200759,1.41208778060362,0.169942871865748,8.3091909951901,9.63567245527102e-17,5.83810569953401e-14
"PRDM1",1540.23257045379,1.29436261651662,0.155937281088343,8.30053344192476,1.03644958237126e-16,6.16120387588472e-14
"GBP1",2671.60838847844,1.75788698802763,0.211968752415271,8.29314211645558,1.10295431161699e-16,6.43512565588978e-14
"CCL3",98.2590352906731,2.48873221433887,0.300579896071413,8.27976936204539,1.23414072278613e-16,7.06960683856358e-14
"ENSG00000287771",36.4452239163029,2.63509052294035,0.31834916393696,8.27735964609649,1.25936432691786e-16,7.08527365783465e-14
"ZNF449",323.90539274568,0.540646631178507,0.0654749356047623,8.2573068027452,1.48996093812006e-16,8.23556303796678e-14
"CLEC4D",45.0903612980703,3.1757554381669,0.38515180907538,8.24546416071839,1.6452033264875e-16,8.78538576344325e-14
"FPR1",169.423047089891,2.15835393725976,0.261710478343108,8.24710554550329,1.62277082236871e-16,8.78538576344325e-14
"USP7",3656.61318117392,-0.263545499625824,0.0319762401380577,-8.24191645071354,1.69473897824245e-16,8.89907437475108e-14
"CD300E",532.921882954141,1.3405271604481,0.162784564510376,8.23497709675447,1.79591991479226e-16,9.2757791533516e-14
"HSPA6",184.327118136587,2.02540592379294,0.246847260526348,8.20509783853467,2.30403178135339e-16,1.17081976295678e-13
"ACSL1",1275.8641449741,2.01291753241647,0.246623208778317,8.16191445398727,3.29755720943895e-16,1.64909265778704e-13
"FAP",160.463978023321,2.57787409660613,0.317172069198316,8.12768319455734,4.37573026688521e-16,2.15408996544508e-13
"CREB5",883.980050914433,2.19071824082052,0.270174803626508,8.10852163641799,5.12393416241557e-16,2.483610303401e-13
"KIF26B",266.18155881884,1.70866801933137,0.210811949119125,8.10517632644176,5.26690768668519e-16,2.51423020570763e-13
"DPPA4",1904.82525478203,1.33064602455172,0.16436311196279,8.0957704478908,5.69030399719088e-16,2.61882424117832e-13
"ENSG00000233516",40.8037611657224,2.43331201009739,0.300546512529597,8.09629095216256,5.66602146791178e-16,2.61882424117832e-13
"PIK3R3",1281.66191330704,0.393786320081382,0.0486467649674422,8.09481001141456,5.73537969406793e-16,2.61882424117832e-13
"ENSG00000232035",3833.13656332929,2.02810559400723,0.252530186892638,8.03114122300744,9.65701133353933e-16,4.34648284392129e-13
"TRPC4",54.7168978807633,1.768930778952,0.221038713463366,8.00280978492566,1.21611728083404e-15,5.39647761267003e-13
"LILRB3",526.42111440026,1.62931740216285,0.204855470428185,7.9534971595207,1.81318939000732e-15,7.93421457244038e-13
"SGIP1",870.658859239849,1.37121842075985,0.172500824541226,7.94905429818475,1.87940670424843e-15,8.11131337315768e-13
"SLC39A8",932.636258444692,1.10290546400376,0.139261783683133,7.91965631083143,2.38167984849889e-15,1.01401628792981e-12
"TLR2",1025.34388527193,1.32364533011657,0.167566136908036,7.89924118643982,2.80606443112298e-15,1.17877154622614e-12
"FCGR2A",900.527480363495,1.94093581339326,0.245911989522602,7.89280676050514,2.95464928487876e-15,1.20895039440766e-12
